Latin name,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Nectarinia_aspasia,Nectarinia aspasia,Nectariniidae,Passeriformes,78,45,32,1,5,20.2,15.3,3.1,2.4,14.0,55.3,9.5,44.1,17.6,35.1,8.0,Updated_literature,BoW,NO,,,Forest,2.0,1.0,Omnivore,Omnivore,Insessorial,-11.66,4.55,-4.7,137.7560902,916101.7,Extant
Halcyon_senegalensis,Halcyon senegalensis,Alcedinidae,Coraciiformes,5,2,3,0,4,43.8,34.4,11.6,12.1,12.8,99.4,20.9,78.8,21.0,70.8,73.44,Dunning,,NO,,,Woodland,2.0,1.0,Carnivore,Invertivore,Insessorial,-27.43,16.45,-0.14,19.75053465,14752529.26,Extant
Nyctiprogne_leucopyga,Nyctiprogne leucopyga,Caprimulgidae,Caprimulgiformes,4,1,2,1,4,10.7,4.3,2.1,2.3,12.5,135.8,67.5,68.3,49.6,86.2,27.3,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Aerial,-20.73,10.0,-4.54,-60.51255265,5244008.15,Extant
Chauna_torquata,Chauna torquata,Anhimidae,Anseriformes,5,2,3,0,4,47.3,21.9,13.6,15.3,123.5,517.0,184.0,337.8,35.3,204.4,4400.0,Dunning,,NO,,,Wetland,3.0,1.0,Herbivore,Herbivore aquatic,Terrestrial,-39.01,-10.43,-24.91,-59.41294646,3828524.39,Extant
Mionectes_macconnelli,Mionectes macconnelli,Tyrannidae,Passeriformes,12,5,5,2,4,13.7,8.0,4.1,3.4,16.0,60.7,10.2,50.5,16.7,49.8,13.5,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-17.4,8.26,-1.7,-58.63142577,2920810.8,Extant
Cardinalis_cardinalis,Cardinalis cardinalis,Cardinalidae,Passeriformes,64,24,40,0,8,17.6,14.7,9.3,12.3,24.5,93.5,14.2,77.7,15.5,101.8,42.64,Dunning,,NO,,,Shrubland,2.0,1.0,Herbivore,Omnivore,Insessorial,15.65,47.34,34.85,-92.40576548,5834572.06,Extant
Aegithalos_caudatus,Aegithalos caudatus,Aegithalidae,Passeriformes,21,10,11,0,8,7.6,4.5,2.6,3.3,15.8,61.4,13.3,48.2,21.6,79.8,8.6,Dunning,,NO,,,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial,23.12,68.3,51.23,74.92598155,20041677.81,Extant
Crypturellus_undulatus,Crypturellus undulatus,Tinamidae,Tinamiformes,7,1,6,0,4,34.0,12.4,6.0,5.8,48.0,172.5,35.0,137.8,20.3,56.6,564.42,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Omnivore,Terrestrial,-27.8,8.4,-8.43,-59.5580665,8533511.59,Extant
Hypocryptadius_cinnamomeus,Hypocryptadius cinnamomeus,Zosteropidae,Passeriformes,5,2,3,0,4,18.3,10.3,4.2,5.5,21.0,91.1,19.7,69.9,22.0,63.2,30.0,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,5.86,9.34,7.6,125.0489584,6672.79,Extant
Rhinopomastus_cyanomelas,Rhinopomastus cyanomelas,Phoeniculidae,Bucerotiformes,8,3,4,1,4,41.8,34.6,4.3,5.5,17.9,108.4,21.2,84.5,20.1,146.6,27.11,Dunning,,NO,,,Grassland,2.0,1.0,Carnivore,Invertivore,Insessorial,-31.85,4.2,-15.51,28.09027242,6396418.32,Extant
Oceanodroma_tethys,Oceanodroma tethys,Hydrobatidae,Procellariiformes,5,2,3,0,4,13.3,8.3,2.0,3.5,21.8,129.8,78.5,53.8,59.4,58.8,22.6,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aerial,-27.88,29.03,-1.79,-91.58681488,11745531.83,Extant
Prunella_fulvescens,Prunella fulvescens,Prunellidae,Passeriformes,5,2,3,0,4,14.3,7.9,3.9,3.9,20.2,75.1,15.5,60.1,20.5,67.2,18.9,Dunning,,NO,,,Shrubland,3.0,2.0,Omnivore,Invertivore,Terrestrial,27.25,52.08,41.02,90.60841663,3210424.28,Extant
Eubucco_bourcierii,Eubucco bourcierii,Ramphastidae,Piciformes,9,4,5,0,4,20.6,14.8,5.8,8.6,20.9,72.0,10.6,60.9,14.8,52.4,37.0,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-5.24,10.49,3.22,-77.25524565,234502.7,Extant
Rhodinocichla_rosea,Rhodinocichla rosea,Thraupidae,Passeriformes,6,2,4,0,4,23.1,13.7,4.4,5.8,26.2,81.2,7.2,71.5,9.1,78.8,48.0,Dunning,,NO,,,Shrubland,1.0,1.0,Herbivore,Omnivore,Insessorial,4.27,23.43,13.47,-85.96330836,163331.81,Extant
Urocynchramus_pylzowi,Urocynchramus pylzowi,Urocynchramidae,Passeriformes,4,1,3,0,4,12.7,7.3,3.9,4.6,22.0,73.5,10.8,62.6,14.8,78.2,28.62,EltonTraits_Model,,NO,,,Shrubland,2.0,1.0,Herbivore,Granivore,Generalist,28.83,38.92,33.82,100.0822446,627499.68,Extant
Cinclus_mexicanus,Cinclus mexicanus,Cinclidae,Passeriformes,5,2,3,0,4,21.6,11.7,3.4,4.8,29.8,89.1,23.6,65.3,26.5,51.8,56.68,Dunning,,NO,,,Riverine,3.0,1.0,Carnivore,Aquatic predator,Generalist,8.36,69.6,52.35,-128.7471879,4910744.04,Extant
Burhinus_bistriatus,Burhinus bistriatus,Burhinidae,Charadriiformes,4,2,2,0,4,49.8,25.4,10.4,12.2,110.2,241.8,105.7,136.1,43.6,119.5,787.0,Dunning,,NO,,,Grassland,3.0,1.0,Carnivore,Invertivore,Terrestrial,-0.1,19.93,9.09,-70.69772641,787421.54,Extant
Chunga_burmeisteri,Chunga burmeisteri,Cariamidae,Cariamiformes,4,1,0,3,3,59.2,29.4,14.1,16.1,144.0,300.3,32.1,268.2,10.7,305.7,1298.0,Dunning,,NO,,,Woodland,2.0,1.0,Carnivore,Invertivore,Terrestrial,-35.36,-18.4,-25.38,-62.3776834,736438.81,Extant
Daphoenositta_chrysoptera,Daphoenositta chrysoptera,Neosittidae,Passeriformes,22,9,13,0,8,14.4,9.4,2.8,3.5,16.0,79.1,23.0,55.1,29.4,37.5,11.7,Dunning,,NO,,,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial,-39.24,-0.52,-25.74,136.4915404,4895533.35,Extant
Leucopsar_rothschildi,Leucopsar rothschildi,Sturnidae,Passeriformes,4,2,2,0,4,31.2,18.0,6.5,8.9,35.1,130.8,26.1,104.7,19.9,79.0,91.3,Dunning,,NO,,,Woodland,2.0,1.0,Omnivore,Omnivore,Insessorial,-8.14,-8.09,-8.12,114.4762973,37.61,Extant
Thryothorus_ludovicianus,Thryothorus ludovicianus,Troglodytidae,Passeriformes,13,3,6,4,10,16.9,11.1,3.2,3.9,21.4,59.4,6.8,52.6,11.4,50.7,18.96,Dunning,,NO,,,Woodland,2.0,1.0,Carnivore,Invertivore,Insessorial,12.63,45.64,34.43,-87.99292923,3217727.29,Extant
Paradoxornis_webbianus,Paradoxornis webbianus,Timaliidae,Passeriformes,5,2,2,1,4,9.2,5.4,3.6,5.8,19.5,50.4,7.0,43.3,13.9,59.4,10.9,Dunning,,NO,,,Shrubland,2.0,1.0,Herbivore,Omnivore,Insessorial,21.78,46.71,33.65,114.5697774,4347110.32,Extant
Jacana_jacana,Jacana jacana,Jacanidae,Charadriiformes,13,6,6,1,7,34.0,18.4,4.1,6.4,53.9,129.0,25.8,104.1,20.0,43.1,106.24,Dunning,,NO,,,Wetland,3.0,1.0,Omnivore,Omnivore,Terrestrial,-37.84,12.49,-10.23,-58.00033567,13881637.25,Extant
Rostratula_semicollaris,Rostratula semicollaris,Rostratulidae,Charadriiformes,8,4,4,0,4,42.7,34.1,3.6,5.5,33.5,102.9,31.8,69.7,31.4,46.4,76.6,Dunning,,NO,,,Wetland,1.0,2.0,Omnivore,Aquatic predator,Terrestrial,-44.05,-21.58,-32.39,-61.65426037,2533948.28,Extant
Tricholaema_leucomelas,Tricholaema leucomelas,Ramphastidae,Piciformes,4,2,2,0,4,19.0,13.6,8.7,10.5,20.6,79.0,12.8,66.2,16.2,44.0,32.2,Dunning,,NO,,,Shrubland,2.0,1.0,Herbivore,Omnivore,Insessorial,-34.84,-9.86,-24.17,22.72385103,3123368.53,Extant
Climacteris_rufus,Climacteris rufus,Climacteridae,Passeriformes,10,5,5,0,4,19.7,10.4,3.6,3.6,23.2,87.3,24.6,64.4,27.5,61.6,32.64,Dunning,,NO,,,Woodland,2.0,1.0,Carnivore,Invertivore,Insessorial,-35.19,-28.82,-31.94,122.8538672,452307.17,Extant
Erpornis_zantholeuca,Erpornis zantholeuca,Timaliidae,Passeriformes,11,2,9,0,4,15.4,8.4,3.9,4.2,16.7,66.4,11.3,54.8,17.1,44.0,11.8,Dunning,,NO,,,Forest,1.0,1.0,Omnivore,Invertivore,Insessorial,-4.19,29.88,17.04,104.8882377,3629429.65,Extant
Rhynochetos_jubatus,Rhynochetos jubatus,Rhynochetidae,Eurypygiformes,4,1,2,1,2,67.2,42.2,9.8,17.0,100.0,264.3,37.1,227.2,14.0,183.5,859.99,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,-22.15,-20.82,-21.58,165.8959756,1341.75,Extant
Regulus_satrapa,Regulus satrapa,Reguliidae,Passeriformes,5,2,3,0,4,9.0,5.4,2.1,2.5,16.2,57.2,13.4,43.4,23.6,42.8,6.19,Dunning,,NO,,,Forest,1.0,3.0,Carnivore,Invertivore,Insessorial,14.65,62.43,49.81,-105.1575607,6348089.15,Extant
Larus_argentatus,Larus argentatus,Laridae,Charadriiformes,16,5,10,1,10,70.5,25.3,8.8,18.5,64.9,429.0,236.3,193.8,54.9,168.5,1090.99,Dunning,,NO,,,Coastal,3.0,2.0,Carnivore,Aquatic predator,Generalist,34.39,77.08,60.56,-9.686839154,13888864.47,Extant
Arenaria_interpres,Arenaria interpres,Scolopacidae,Charadriiformes,10,5,5,0,4,25.4,15.7,3.9,5.5,25.5,148.8,83.4,66.4,55.6,61.0,135.98,Dunning,,NO,,,Coastal,3.0,3.0,Carnivore,Aquatic predator,Terrestrial,55.99,83.11,72.47,-51.70528284,2619753.6,Extant
Loxia_leucoptera,Loxia leucoptera,Fringillidae,Passeriformes,10,6,4,0,4,19.1,13.4,4.5,8.6,15.6,88.7,31.7,57.1,35.7,58.8,28.69,Dunning,,NO,,,Forest,1.0,3.0,Herbivore,Omnivore,Insessorial,35.76,69.45,57.95,-3.84663526,16098090.24,Extant
Vireo_altiloquus,Vireo altiloquus,Vireonidae,Passeriformes,22,5,14,3,4,20.6,12.0,4.5,4.7,19.2,80.4,20.1,60.2,25.0,54.2,18.97,Dunning,,NO,,,Woodland,2.0,1.0,Omnivore,Invertivore,Insessorial,10.86,29.37,20.76,-75.54652453,243716.04,Extant
Pterocles_burchelli,Pterocles burchelli,Pteroclididae,Pteroclidiformes,5,2,3,0,4,16.2,6.8,4.2,4.8,26.6,159.2,83.2,76.0,52.2,68.0,180.67,Dunning,,NO,,,Grassland,3.0,1.0,Herbivore,Granivore,Terrestrial,-28.86,-17.18,-22.19,21.75028667,1218509.01,Extant
Phylloscopus_sibilatrix,Phylloscopus sibilatrix,Sylviidae,Passeriformes,18,8,10,0,4,13.2,6.7,2.8,2.8,18.0,75.8,23.3,52.3,30.9,50.7,9.2,Dunning,,NO,,,Forest,1.0,3.0,Carnivore,Invertivore,Insessorial,38.84,69.08,54.15,28.42973258,6359810.96,Extant
Platysteira_castanea,Platysteira castanea,Platysteiridae,Passeriformes,34,10,20,4,11,16.3,8.7,5.5,4.1,16.2,60.1,6.3,53.9,10.4,26.1,14.09,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-10.97,9.84,-0.19,16.70198323,4100583.96,Extant
Nesospiza_acunhae,Nesospiza acunhae,Emberizidae,Passeriformes,4,0,4,0,4,15.4,10.3,5.3,7.8,24.7,83.0,16.6,66.4,20.0,69.5,28.54,Dunning,,NO,,,Shrubland,2.0,1.0,Herbivore,Omnivore,Generalist,-37.33,-37.28,-37.3,-12.68218268,16.43,Extant
