Latin name	Species3	Family3	Order3	Total.individuals	Female	Male	Unknown	Complete.measures	Beak.Length_Culmen	Beak.Length_Nares	Beak.Width	Beak.Depth	Tarsus.Length	Wing.Length	Kipps.Distance	Secondary1	Hand-Wing.Index	Tail.Length	Mass	Mass.Source	Mass.Refs.Other	Inference	Traits.inferred	Reference.species	Habitat	Habitat.Density	Migration	Trophic.Level	Trophic.Niche	Primary.Lifestyle	Min.Latitude	Max.Latitude	Centroid.Latitude	Centroid.Longitude	Range.Size	Species.Status	Sample	Labels
Hypocryptadius_cinnamomeus	Hypocryptadius cinnamomeus	Zosteropidae	Passeriformes	5	2	3	0	4	18.3	10.3	4.2	5.5	21.0	91.1	19.7	69.9	22.0	63.2	30.0	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	5.86	9.34	7.6	125.0489584	6672.79	Extant	Hypocryptadius_cinnamomeus_GCA_013400635.1_msmc2.final	3.0
Ibidorhyncha_struthersii	Ibidorhyncha struthersii	Ibidorhynchidae	Charadriiformes	8	4	4	0	4	79.3	63.8	5.3	6.4	46.4	231.2	100.8	131.2	43.5	112.4	294.0	Dunning		NO			Riverine	3.0	2.0	Carnivore	Aquatic predator	Terrestrial	26.52	45.83	35.52	92.4370137	4986455.37	Extant	Ibidorhyncha_struthersii_GCA_013398815.1_msmc2.final	2.0
Ifrita_kowaldi	Ifrita kowaldi	Orthonychidae	Passeriformes	5	2	3	0	4	16.3	10.0	4.1	4.7	26.8	79.8	9.8	70.4	12.2	54.2	32.1	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	-10.1	-3.33	-5.87	143.2621308	91932.48	Extant	Ifrita_kowaldi_GCA_013398055.1_msmc2.final	6.0
Indicator_maculatus	Indicator maculatus	Indicatoridae	Piciformes	9	2	3	4	4	13.4	7.6	4.5	5.8	16.8	97.6	19.2	78.8	19.6	61.6	46.8	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	-5.93	13.85	4.06	11.37124865	4072953.89	Extant	Indicator_maculatus_GCA_013399975.1_msmc2.final	1.0
Irena_cyanogastra	Irena cyanogastra	Irenidae	Passeriformes	11	4	5	2	10	28.7	19.6	8.7	11.3	21.1	132.5	28.4	104.5	21.4	104.9	80.29	Dunning		NO			Forest	1.0	1.0	Herbivore	Frugivore	Insessorial	5.56	18.65	11.97	123.2193228	229101.27	Extant	Irena_cyanogastra_GCA_013397155.1_msmc2.final	6.0
Jacana_jacana	Jacana jacana	Jacanidae	Charadriiformes	13	6	6	1	7	34.0	18.4	4.1	6.4	53.9	129.0	25.8	104.1	20.0	43.1	106.24	Dunning		NO			Wetland	3.0	1.0	Omnivore	Omnivore	Terrestrial	-37.84	12.49	-10.23	-58.00033567	13881637.25	Extant	Jacana_jacana_GCA_013400555.1_msmc2.final	1.0
Larus_argentatus	Larus argentatus	Laridae	Charadriiformes	16	5	10	1	10	70.5	25.3	8.8	18.5	64.9	429.0	236.3	193.8	54.9	168.5	1090.99	Dunning		NO			Coastal	3.0	2.0	Carnivore	Aquatic predator	Generalist	34.39	77.08	60.56	-9.686839154	13888864.47	Extant	Larus_smithsonianus_GCA_013400295.1_msmc2.final	10.0
Leiothrix_lutea	Leiothrix lutea	Timaliidae	Passeriformes	5	2	3	0	4	13.7	7.1	3.5	4.6	23.7	68.2	8.6	58.9	12.8	59.2	21.39	Dunning		NO			Shrubland	1.0	1.0	Carnivore	Invertivore	Insessorial	20.22	38.08	28.75	107.7961362	2885282.76	Extant	Leiothrix_lutea_GCA_013400445.1_msmc2.final	9.0
Nectarinia_aspasia	Nectarinia aspasia	Nectariniidae	Passeriformes	78	45	32	1	5	20.2	15.3	3.1	2.4	14.0	55.3	9.5	44.1	17.6	35.1	8.0	Updated_literature	BoW	NO			Forest	2.0	1.0	Omnivore	Omnivore	Insessorial	-11.66	4.55	-4.7	137.7560902	916101.7	Extant	Leptocoma_aspasia_GCA_013399835.1_msmc2.final	12.0
Leucopsar_rothschildi	Leucopsar rothschildi	Sturnidae	Passeriformes	4	2	2	0	4	31.2	18.0	6.5	8.9	35.1	130.8	26.1	104.7	19.9	79.0	91.3	Dunning		NO			Woodland	2.0	1.0	Omnivore	Omnivore	Insessorial	-8.14	-8.09	-8.12	114.4762973	37.61	Extant	Leucopsar_rothschildi_GCA_013397325.1_msmc2.final	11.0
Eupodotis_ruficrista	Eupodotis ruficrista	Otididae	Otidiformes	5	2	3	0	4	37.4	22.0	8.8	8.3	84.5	261.2	96.5	161.2	37.5	143.0	712.1	Dunning		NO			Shrubland	3.0	1.0	Omnivore	Omnivore	Terrestrial	-28.6	-11.59	-20.84	23.24154624	2013859.39	Extant	Lophotis_ruficrista_GCA_013396455.1_msmc2.final	5.0
